imagen_path,departamento,fecha_procesamiento,AP,APB SÚMATE,CODIGO MESA,ELECTORES HABILITADOS,FP,LIBRE,LYP ADN,MAS-IPSP,MESA,MORENA,PAPELETAS EN ÁNFORA,PAPELETAS NO UTILIZADAS,PDC,UNIDAD,VOTOS BLANCOS,VOTOS NULOS,VOTOS VÁLIDOS
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_10_103504.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 0 15,APB SÚMATE 004,10,3,FP 005,LIBRE 012,LYP ADN 002,MAS-IPSP 001,10,MORENA 08 10,12,12,PDC 011,UNIDAD 004,5,59,55
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_7_103474.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 760,APB SÚMATE NOV DART,760,,FP APRIL,LIBRE BECK,LYP ADN TV. NEOL,MAS-IPSP WWW.GOV,760,MORENA 800,,0,PDC TV. DEPARTMENT,UNIDAD BECK,,80,800
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_2_103424.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 0.91,APB SÚMATE 0812,,3,FP 001,LIBRE 002,LYP ADN 0812,MAS-IPSP 002,812,MORENA 0812,8,6,PDC 004,UNIDAD 004,8,54,4
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_5_103454.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 027,APB SÚMATE 006,5,3,FP 004,LIBRE 003,LYP ADN APB SOMATE,MAS-IPSP 0 06,5,MORENA 0922,27,922,PDC 018,UNIDAD 002,3,55,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_8_103484.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 020,APB SÚMATE 02,830,3,FP 002,LIBRE 008,LYP ADN 00,MAS-IPSP 001,830,MORENA 0830,0,202,PDC 013,UNIDAD 003,5,62,51
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_6_103464.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 0 15,APB SÚMATE 00 +,930,3,FP 002,LIBRE 0 1,LYP ADN 0930,MAS-IPSP 002,6,MORENA 0930,429,429,PDC 012,UNIDAD 010,4,66,59
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_9_103494.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 0.8 10,APB SÚMATE 0 1,9,3,FP 005,LIBRE 008,LYP ADN 003,MAS-IPSP 001,9,MORENA 08.10,79,797,PDC 016,UNIDAD 005,6,53,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_1_103414.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 0 26,APB SÚMATE 006,840,3,FP 008,LIBRE 005,LYP ADN 002,MAS-IPSP 004,1,MORENA 08 40,24,840,PDC 014,UNIDAD 0.6,6,64,65
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_3_103434.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 017,APB SÚMATE 009,3,3,FP 012,LIBRE 008,LYP ADN 001,MAS-IPSP 005,3,MORENA 08.24,50,50,PDC 017,UNIDAD 006,4,50,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_9_102624.jpg,Escuela Primaria Nº 19,,AP 0 1,APB SÚMATE MOSA: 9,9,3,FP 002,LIBRE 0 1,LYP ADN 001,MAS-IPSP 001,9,MORENA 7/62 63,715,95,PDC 0.13,UNIDAD 005,5,52,58
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_5_102584.jpg,Escuela Primaria Nº 19,,AP 025,APB SÚMATE MOSA: 5,5,3,FP 008,LIBRE 008,LYP ADN 004,MAS-IPSP 00 1,5,MORENA 552534,752,752,PDC 025,UNIDAD 002,7,63,82
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_3_102564.jpg,Escuela Primaria Nº 19,,AP AP,APB SÚMATE MOSA: 3,,,FP 004,LIBRE 0.24,LYP ADN AP,MAS-IPSP 004,3,MORENA 3,17,127,PDC 0830,UNIDAD 004,9,52,9
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_4_102574.jpg,Escuela Primaria Nº 19,,AP 0 27,APB SÚMATE 0938,102574,3,FP 001,LIBRE 005,LYP ADN AP,MAS-IPSP 009,4,MORENA 0938,95,14,PDC 019,UNIDAD 005,4,42,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_10_102634.jpg,Escuela Primaria Nº 19,,AP 020,APB SÚMATE 020,10,3,FP A3,LIBRE 020,LYP ADN 005,MAS-IPSP 003,10,MORENA 17,114,117,PDC 000,UNIDAD 002,4,64,44
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_2_102554.jpg,Escuela Primaria Nº 19,,AP 029,APB SÚMATE 005,,3,FP 004,LIBRE 004,LYP ADN APB SOMATE,MAS-IPSP 003,,MORENA 7 43,743,743,PDC 020,UNIDAD 004,8,63,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_6_102594.jpg,Escuela Primaria Nº 19,,AP 020,APB SÚMATE 0830,6,,FP 004,LIBRE MESA: 6,LYP ADN MESA: 6,MAS-IPSP 00,6,MORENA 796,796,796,PDC 028,UNIDAD 028,3,57,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_1_102544.jpg,Escuela Primaria Nº 19,,AP 036,APB SÚMATE MOSA 1,1,3,FP 002,LIBRE 006,LYP ADN 003,MAS-IPSP 004,1,MORENA 0.36,450,470,PDC 020,UNIDAD 005,7,58,85
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_8_102614.jpg,Escuela Primaria Nº 19,,AP 0 3,APB SÚMATE MOSA 8,8,3,FP 0,LIBRE 00 +,LYP ADN AP SIMATE,MAS-IPSP 003,8,MORENA 474,83,474,PDC 023,UNIDAD 001,7,63,75
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 19/mesa_7_102604.jpg,Escuela Primaria Nº 19,,AP 0.28,APB SÚMATE 0.22,7,3,FP A3,LIBRE 0.22,LYP ADN 028,MAS-IPSP 008,7,MORENA 0.28,28,28,PDC 0.15,UNIDAD 0.28,48,28,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N 7 de Ostende Pinamar/mesa_2_104044.jpg,Escuela Primaria N 7 de Ostende Pinamar,,AP 0.9,APB SÚMATE MOSA: 2,2,3,FP 000,LIBRE 0.8,LYP ADN 0870,MAS-IPSP 004,2,MORENA 0870,24,2,PDC 021,UNIDAD 003,12,2,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N 7 de Ostende Pinamar/mesa_1_104034.jpg,Escuela Primaria N 7 de Ostende Pinamar,,AP 0.16,APB SÚMATE MOSA 1,1,3,FP 005,LIBRE 0.16,LYP ADN APS COMATE,MAS-IPSP 005,1,MORENA 0.14,16,810,PDC 0.27,UNIDAD 0.16,5,69,69
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N 7 de Ostende Pinamar/mesa_5_104074.jpg,Escuela Primaria N 7 de Ostende Pinamar,,AP G LOUIS,APB SÚMATE NOV 4TH,900,,FP 00,LIBRE SPORTS OF SONITY SOLON,LYP ADN 00,MAS-IPSP WWW.GOV,0,MORENA SPORTSHOCKEY,0,0,PDC 00,UNIDAD 00,4,0,0
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N 7 de Ostende Pinamar/mesa_4_104064.jpg,Escuela Primaria N 7 de Ostende Pinamar,,AP 0.91,APB SÚMATE MESA 4,4,1,FP 001,LIBRE MESA 4,LYP ADN 0810,MAS-IPSP 001,4,MORENA 0810,50,50,PDC 009,UNIDAD 0.10,6,59,51
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N 7 de Ostende Pinamar/mesa_3_104054.jpg,Escuela Primaria N 7 de Ostende Pinamar,,AP 0.18,APB SÚMATE 0.81,3,3,FP 004,LIBRE 0.18,LYP ADN 0.8,MAS-IPSP 0.94,3,MORENA 716,28,8,PDC 018,UNIDAD 003,4,60,52
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_10_101804.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 0 1 7,APB SÚMATE 0 1,10,3,FP 007,LIBRE 0 1,LYP ADN APS SOMATE,MAS-IPSP 004,10,MORENA 430,83,83,PDC 0 26,UNIDAD 0.26,3,44,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_2_101834.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 016,APB SÚMATE MOSA: 2,101834,3,FP 003,LIBRE 0.9,LYP ADN APB SUMATE,MAS-IPSP 00 2,2,MORENA 0.9,45,18,PDC 035,UNIDAD 0 9,3,49,92
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_8_101784.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 025,APB SÚMATE 08.00,8,3,FP 08.00,LIBRE 08.00,LYP ADN 080,MAS-IPSP 08.00,8,MORENA 061,800,800,PDC 031,UNIDAD 0.9,4,41,61
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_1_101824.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 0.23,APB SÚMATE MESA:1,,3,FP 003,LIBRE 015,LYP ADN APB SOMATE,MAS-IPSP 001,1,MORENA 0.15,739,484,PDC 0.22,UNIDAD 009,5,47,887
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_5_101864.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP A3,APB SÚMATE 06,5,3,FP A3,LIBRE A3,LYP ADN 06,MAS-IPSP 69.15,5,MORENA 794,28,28,PDC 0.28,UNIDAD 0.28,1,82,82
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_4_101854.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 0.43,APB SÚMATE 042,4,3,FP 0.13,LIBRE 0.83,LYP ADN 003,MAS-IPSP 0.8 5,4,MORENA 749,83,85,PDC 024,UNIDAD 0.83,3,39,39
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_6_101764.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 0 2,APB SÚMATE MOSA 6,6,3,FP 004,LIBRE 0 1 2,LYP ADN APB SUMATE,MAS-IPSP 0.02,6,MORENA 004,0,820,PDC 019,UNIDAD 009,26,46,84
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_3_101844.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 029,APB SÚMATE 0910,3,3,FP 008,LIBRE 0910,LYP ADN 00,MAS-IPSP 005,3,MORENA 0910,28,8,PDC 028,UNIDAD 005,4,60,81
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_11_101814.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP A3,APB SÚMATE OEP,11,1,FP 0.81,LIBRE MESA,LYP ADN OEP,MAS-IPSP 001,11,MORENA 041,41,41,PDC 005,UNIDAD 041,1,14,26
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_7_101774.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 0.19,APB SÚMATE 043,7,3,FP 004,LIBRE 015,LYP ADN APS COMATE,MAS-IPSP 004,7,MORENA 7,99,99,PDC 018,UNIDAD 011,3,99,90
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón/mesa_9_101794.jpg,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,,AP 0 18,APB SÚMATE 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,9,3,FP 005,LIBRE 0.18,LYP ADN 018,MAS-IPSP 004,9,MORENA 0.18,28,28,PDC 028,UNIDAD 005,2,37,95
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educación Primaria N 12 Hipolito Yrigoye/mesa_2_103974.jpg,Escuela de Educación Primaria N 12 Hipolito Yrigoye,,AP MESA 2,APB SÚMATE MOSA 2,,,FP 001,LIBRE 0.4,LYP ADN APB SMIATE,MAS-IPSP 000,2,MORENA 0.4,45,32,PDC 002,UNIDAD 00,0,5,4
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educación Primaria N 12 Hipolito Yrigoye/mesa_1_103964.jpg,Escuela de Educación Primaria N 12 Hipolito Yrigoye,,AP 500,APB SÚMATE NOV DAR,80,,FP 8 TO,LIBRE BECK,LYP ADN COTF,MAS-IPSP WWW.GOV,80,MORENA 8T0,80,8,PDC NOV DAR,UNIDAD VADOMAN,,8,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_1_102464.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 020,APB SÚMATE 001,,3,FP 002,LIBRE 020,LYP ADN 020,MAS-IPSP 003,1,MORENA 020,95,910,PDC 0.22,UNIDAD 001,5,47,58
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_2_102474.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 020,APB SÚMATE 003,102474,3,FP 0.04,LIBRE 0.24,LYP ADN AP,MAS-IPSP 0 0 2,,MORENA 09 30,107,213,PDC 024,UNIDAD 0 2,3,43,61
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_4_102494.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 0 27,APB SÚMATE 0.27,4,3,FP 004,LIBRE 0.25,LYP ADN AP,MAS-IPSP 0 9,4,MORENA 0 27,9,213,PDC 019,UNIDAD 005,1,43,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_5_102504.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 0 4,APB SÚMATE 002,,3,FP 000,LIBRE 0 4,LYP ADN APB SOMATE,MAS-IPSP 002,5,MORENA APB SOMATE,48,212,PDC 025,UNIDAD 004,7,48,53
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_6_102514.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 023,APB SÚMATE 0.9,102514,3,FP 003,LIBRE 004,LYP ADN 001,MAS-IPSP 000,6,MORENA 0.83,83,203,PDC 0.23,UNIDAD 006,4,44,69
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_3_102484.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 800,APB SÚMATE NOVEMBER,80,,FP 730,LIBRE EUROPEAN,LYP ADN EUROPEAN,MAS-IPSP WWW.GOV,80,MORENA 7 5 5 5 5 5,800,6849562,PDC WWW.MAIL,UNIDAD RABALE,,68495621,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_8_102534.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 0.23,APB SÚMATE 0.23,,3,FP 001,LIBRE 003,LYP ADN 00,MAS-IPSP 001,8,MORENA 0815,45,485,PDC 015,UNIDAD 004,4,46,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Isidro Casanova - Escuela Secundaria Nº76/mesa_7_102524.jpg,Isidro Casanova - Escuela Secundaria Nº76,,AP 0 26,APB SÚMATE 0915,7,3,FP 000,LIBRE 004,LYP ADN AP,MAS-IPSP 0 0 5,7,MORENA 0 26,108,212,PDC 020,UNIDAD 003,6,37,65
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_2_101034.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 027,APB SÚMATE 012,,3,FP 000,LIBRE 0.2,LYP ADN APB SOMATE,MAS-IPSP 002,2,MORENA 0930,83,199,PDC 019,UNIDAD 008,28,38,81
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_8_101094.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 005,APB SÚMATE 001,8,3,FP 0 0 2,LIBRE 005,LYP ADN APB SOMATE,MAS-IPSP 000,8,MORENA 0.83,83,83,PDC 001,UNIDAD 002,8,18,14
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_7_101084.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 072,APB SÚMATE 0.72,7,3,FP 003,LIBRE 071,LYP ADN 002,MAS-IPSP 002,7,MORENA 7,94,296,PDC 072,UNIDAD 007,9,37,53
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_3_101044.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 0 15,APB SÚMATE 006,,3,FP 002,LIBRE 0 1 3,LYP ADN AP,MAS-IPSP 002,,MORENA 0 1,208,208,PDC 016,UNIDAD 007,1,49,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_1_101024.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 0.19,APB SÚMATE 080,800,3,FP 0.92,LIBRE 0.9,LYP ADN 001,MAS-IPSP 003,1,MORENA 0.9,101,219,PDC 017,UNIDAD 010,0,34,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_5_101064.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 018,APB SÚMATE 0 1,5,3,FP 003,LIBRE 0 1,LYP ADN APB SUMATE,MAS-IPSP 00 2,5,MORENA 188,10,188,PDC 025,UNIDAD 009,1,48,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_4_101054.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 019,APB SÚMATE 0.19,4,3,FP 0.23,LIBRE 0.13,LYP ADN 0000,MAS-IPSP 003,4,MORENA 019,12727,199,PDC 025,UNIDAD 006,1,48,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_6_101074.jpg,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,,AP 012,APB SÚMATE 0 9,101074,3,FP 002,LIBRE 0 1,LYP ADN 001,MAS-IPSP 0 0,6,MORENA 2 1 6,404,216,PDC 021,UNIDAD 007,5,32,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_11_102084.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 500,APB SÚMATE TWO CENTS,780201,,FP 870,LIBRE EUROPEAN,LYP ADN TV 80201,MAS-IPSP WWW.GOV,591,MORENA 870,870,820,PDC WWW.GOV,UNIDAD DA,,807,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_15_102034.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 004,APB SÚMATE 0.37,15,3,FP 001,LIBRE AMBASS,LYP ADN 001,MAS-IPSP 002,15,MORENA 04 32,26,26,PDC 008,UNIDAD 000,0,26,26
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_12_102094.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 27,APB SÚMATE 8,12,3,FP 4,LIBRE 3,LYP ADN APB SOMATE,MAS-IPSP 1,12,MORENA 80,790,490,PDC 21,UNIDAD 8,5,62,73
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_4_101984.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP OEP,APB SÚMATE 0932,932,3,FP 0932,LIBRE OEP,LYP ADN OEP,MAS-IPSP 0932,932,MORENA 0932,28,82,PDC 05.20,UNIDAD 0.9 32,2,82,78
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_3_101974.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 0.18,APB SÚMATE 005,3,78,FP 005,LIBRE 0.8 30,LYP ADN 0830,MAS-IPSP 008,3,MORENA 0830,83,430,PDC 0430,UNIDAD 00 2,76,66,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_10_102074.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 022,APB SÚMATE 0848,848,3,FP 006,LIBRE 003,LYP ADN AP,MAS-IPSP 001,10,MORENA 08 48,494,494,PDC 027,UNIDAD 003,5,53,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_5_101994.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 026,APB SÚMATE 020,5,26,FP 003,LIBRE 007,LYP ADN 026,MAS-IPSP 001,5,MORENA 020,20,80,PDC 021,UNIDAD 007,2,65,144
